"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"526497","2006","AR","Arkansas","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","26.3","","","24.9","27.7","1515","Overall","Overall","EDUCA","6","6","","","","","",""
"528997","2006","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","20.1","","","18.4","21.8","700","Overall","Overall","EDUCA","7","7","","","","","",""
"528998","2006","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","22.6","","","21.1","24.1","1209","Overall","Overall","EDUCA","7","7","","","","","",""
"528999","2006","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","24.4","","","23.0","25.8","1515","Overall","Overall","EDUCA","7","7","","","","","",""
"529000","2006","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","32.9","","","31.4","34.4","2212","Overall","Overall","EDUCA","7","7","","","","","",""
"530743","2006","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","8.6","","","7.6","9.6","414","Overall","Overall","EDUCA","8","8","","","","","",""
"530744","2006","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","24.8","","","23.4","26.2","1403","Overall","Overall","EDUCA","8","8","","","","","",""
"530745","2006","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","27.5","","","26.1","28.9","1659","Overall","Overall","EDUCA","8","8","","","","","",""
"530746","2006","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","39.1","","","37.7","40.5","2619","Overall","Overall","EDUCA","8","8","","","","","",""
"532740","2006","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","6.8","","","6.0","7.6","675","Overall","Overall","EDUCA","9","9","","","","","",""
"532741","2006","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","26.0","","","24.7","27.3","2180","Overall","Overall","EDUCA","9","9","","","","","",""
"532742","2006","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","23.4","","","22.2","24.6","1934","Overall","Overall","EDUCA","9","9","","","","","",""
"532743","2006","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","43.7","","","42.3","45.1","3684","Overall","Overall","EDUCA","9","9","","","","","",""
"535706","2006","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","6.6","","","5.2","8.0","269","Overall","Overall","EDUCA","10","10","","","","","",""
"535707","2006","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","30.4","","","28.3","32.5","1320","Overall","Overall","EDUCA","10","10","","","","","",""
"535708","2006","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.7","","","23.8","27.6","1026","Overall","Overall","EDUCA","10","10","","","","","",""
"535709","2006","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","37.4","","","35.3","39.5","1383","Overall","Overall","EDUCA","10","10","","","","","",""
"538046","2006","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","8.0","","","6.8","9.2","267","Overall","Overall","EDUCA","11","11","","","","","",""
"538047","2006","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","22.1","","","20.3","23.9","695","Overall","Overall","EDUCA","11","11","","","","","",""
"538048","2006","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","19.3","","","17.6","21.0","679","Overall","Overall","EDUCA","11","11","","","","","",""
"538049","2006","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","50.6","","","48.6","52.6","2359","Overall","Overall","EDUCA","11","11","","","","","",""
"539978","2006","FL","Florida","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","12.8","","","11.7","13.9","1302","Overall","Overall","EDUCA","12","12","","","","","",""
"539979","2006","FL","Florida","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","28.4","","","27.1","29.7","3273","Overall","Overall","EDUCA","12","12","","","","","",""
"539980","2006","FL","Florida","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","27.9","","","26.6","29.2","2969","Overall","Overall","EDUCA","12","12","","","","","",""
"539981","2006","FL","Florida","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","30.9","","","29.6","32.2","3155","Overall","Overall","EDUCA","12","12","","","","","",""
"542177","2006","GA","Georgia","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","10.2","","","9.2","11.2","840","Overall","Overall","EDUCA","13","13","","","","","",""
"542178","2006","GA","Georgia","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","28.5","","","27.0","30.0","2221","Overall","Overall","EDUCA","13","13","","","","","",""
"542179","2006","GA","Georgia","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","27.3","","","25.8","28.8","2027","Overall","Overall","EDUCA","13","13","","","","","",""
"542180","2006","GA","Georgia","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","34.0","","","32.5","35.5","2599","Overall","Overall","EDUCA","13","13","","","","","",""
"544999","2006","HI","Hawaii","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","5.8","","","5.0","6.6","408","Overall","Overall","EDUCA","14","14","","","","","",""
"545000","2006","HI","Hawaii","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","30.0","","","28.4","31.6","1781","Overall","Overall","EDUCA","14","14","","","","","",""
"545001","2006","HI","Hawaii","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","28.9","","","27.4","30.4","1852","Overall","Overall","EDUCA","14","14","","","","","",""
"545002","2006","HI","Hawaii","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","35.2","","","33.7","36.7","2514","Overall","Overall","EDUCA","14","14","","","","","",""
"546807","2006","ID","Idaho","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","9.8","","","8.6","11.0","450","Overall","Overall","EDUCA","15","15","","","","","",""
"546808","2006","ID","Idaho","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","29.8","","","28.1","31.5","1601","Overall","Overall","EDUCA","15","15","","","","","",""
"546809","2006","ID","Idaho","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","32.1","","","30.5","33.7","1728","Overall","Overall","EDUCA","15","15","","","","","",""
"546810","2006","ID","Idaho","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","28.2","","","26.7","29.7","1557","Overall","Overall","EDUCA","15","15","","","","","",""
"549159","2006","IL","Illinois","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","9.3","","","8.2","10.4","390","Overall","Overall","EDUCA","16","16","","","","","",""
"549160","2006","IL","Illinois","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","28.0","","","26.3","29.7","1452","Overall","Overall","EDUCA","16","16","","","","","",""
"549161","2006","IL","Illinois","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","28.5","","","26.8","30.2","1420","Overall","Overall","EDUCA","16","16","","","","","",""
"549162","2006","IL","Illinois","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","34.3","","","32.7","35.9","1911","Overall","Overall","EDUCA","16","16","","","","","",""
"551256","2006","IN","Indiana","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","11.4","","","10.3","12.5","667","Overall","Overall","EDUCA","17","17","","","","","",""
