"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"1117118","2001","US","All States, DC and Territories (median) **","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","10.8","**","Median value reported with no confidence intervals","","","54","Overall","Overall","EDUCA","1","1","","","","","",""
"1117119","2001","US","All States, DC and Territories (median) **","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","31.8","**","Median value reported with no confidence intervals","","","54","Overall","Overall","EDUCA","1","1","","","","","",""
"1117120","2001","US","All States, DC and Territories (median) **","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","26.8","**","Median value reported with no confidence intervals","","","54","Overall","Overall","EDUCA","1","1","","","","","",""
"1117121","2001","US","All States, DC and Territories (median) **","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","27.6","**","Median value reported with no confidence intervals","","","54","Overall","Overall","EDUCA","1","1","","","","","",""
"1117765","2001","UW","All States and DC (median) **","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","10.7","**","Median value reported with no confidence intervals","","","51","Overall","Overall","EDUCA","2","2","","","","","",""
"1117766","2001","UW","All States and DC (median) **","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","31.8","**","Median value reported with no confidence intervals","","","51","Overall","Overall","EDUCA","2","2","","","","","",""
"1117767","2001","UW","All States and DC (median) **","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","27.7","**","Median value reported with no confidence intervals","","","51","Overall","Overall","EDUCA","2","2","","","","","",""
"1117768","2001","UW","All States and DC (median) **","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","27.9","**","Median value reported with no confidence intervals","","","51","Overall","Overall","EDUCA","2","2","","","","","",""
"1114131","2001","AL","Alabama","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","16.1","","","14.6","17.6","465","Overall","Overall","EDUCA","3","3","","","","","",""
"1114132","2001","AL","Alabama","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","35.0","","","32.9","37.1","967","Overall","Overall","EDUCA","3","3","","","","","",""
"1114133","2001","AL","Alabama","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","27.2","","","25.3","29.1","736","Overall","Overall","EDUCA","3","3","","","","","",""
"1114134","2001","AL","Alabama","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","21.7","","","19.9","23.5","620","Overall","Overall","EDUCA","3","3","","","","","",""
"1116445","2001","AK","Alaska","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","7.5","","","6.2","8.8","243","Overall","Overall","EDUCA","4","4","","","","","",""
"1116446","2001","AK","Alaska","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","30.5","","","28.0","33.0","912","Overall","Overall","EDUCA","4","4","","","","","",""
"1116447","2001","AK","Alaska","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","33.3","","","30.5","36.1","886","Overall","Overall","EDUCA","4","4","","","","","",""
"1116448","2001","AK","Alaska","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","28.6","","","26.0","31.2","830","Overall","Overall","EDUCA","4","4","","","","","",""
"1119073","2001","AZ","Arizona","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","12.5","","","10.7","14.3","382","Overall","Overall","EDUCA","5","5","","","","","",""
"1119074","2001","AZ","Arizona","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","27.6","","","25.4","29.8","910","Overall","Overall","EDUCA","5","5","","","","","",""
"1119075","2001","AZ","Arizona","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","31.5","","","29.2","33.8","1030","Overall","Overall","EDUCA","5","5","","","","","",""
"1119076","2001","AZ","Arizona","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","28.5","","","26.3","30.7","929","Overall","Overall","EDUCA","5","5","","","","","",""
"1121567","2001","AR","Arkansas","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","15.4","","","13.9","16.9","443","Overall","Overall","EDUCA","6","6","","","","","",""
"1121568","2001","AR","Arkansas","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","36.3","","","34.3","38.3","1026","Overall","Overall","EDUCA","6","6","","","","","",""
"1121569","2001","AR","Arkansas","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","24.6","","","22.9","26.3","742","Overall","Overall","EDUCA","6","6","","","","","",""
"1121570","2001","AR","Arkansas","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","23.7","","","22.0","25.4","715","Overall","Overall","EDUCA","6","6","","","","","",""
"1123930","2001","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","17.4","","","15.8","19.0","541","Overall","Overall","EDUCA","7","7","","","","","",""
"1123931","2001","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","23.1","","","21.5","24.7","955","Overall","Overall","EDUCA","7","7","","","","","",""
"1123932","2001","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","28.0","","","26.4","29.6","1247","Overall","Overall","EDUCA","7","7","","","","","",""
"1123933","2001","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","31.5","","","29.8","33.2","1495","Overall","Overall","EDUCA","7","7","","","","","",""
"1126062","2001","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","10.7","","","9.0","12.4","180","Overall","Overall","EDUCA","8","8","","","","","",""
"1125406","2001","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","24.9","","","22.7","27.1","488","Overall","Overall","EDUCA","8","8","","","","","",""
"1125407","2001","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","29.7","","","27.4","32.0","590","Overall","Overall","EDUCA","8","8","","","","","",""
"1125408","2001","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","34.7","","","32.4","37.0","770","Overall","Overall","EDUCA","8","8","","","","","",""
"1127557","2001","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","8.6","","","7.8","9.4","601","Overall","Overall","EDUCA","9","9","","","","","",""
"1127558","2001","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","27.6","","","26.4","28.8","2131","Overall","Overall","EDUCA","9","9","","","","","",""
"1127559","2001","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.6","","","24.4","26.8","2007","Overall","Overall","EDUCA","9","9","","","","","",""
"1127560","2001","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","38.2","","","36.9","39.5","2989","Overall","Overall","EDUCA","9","9","","","","","",""
"1129535","2001","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","8.5","","","7.3","9.7","326","Overall","Overall","EDUCA","10","10","","","","","",""
"1129536","2001","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","31.8","","","29.8","33.8","1209","Overall","Overall","EDUCA","10","10","","","","","",""
"1129537","2001","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.8","","","23.9","27.7","901","Overall","Overall","EDUCA","10","10","","","","","",""
"1129538","2001","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","33.9","","","31.9","35.9","1069","Overall","Overall","EDUCA","10","10","","","","","",""
"1132297","2001","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","12.1","","","10.2","14.0","182","Overall","Overall","EDUCA","11","11","","","","","",""
"1132298","2001","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","24.7","","","22.1","27.3","387","Overall","Overall","EDUCA","11","11","","","","","",""
"1132299","2001","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","17.9","","","15.8","20.0","325","Overall","Overall","EDUCA","11","11","","","","","",""
"1132300","2001","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","45.3","","","42.6","48.0","989","Overall","Overall","EDUCA","11","11","","","","","",""
"1134778","2001","FL","Florida","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","12.1","","","10.9","13.3","484","Overall","Overall","EDUCA","12","12","","","","","",""
