"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"397671","2007","AR","Arkansas","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","27.3","","","25.9","28.7","1572","Overall","Overall","EDUCA","6","6","","","","","",""
"400160","2007","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","19.3","","","17.7","20.9","746","Overall","Overall","EDUCA","7","7","","","","","",""
"400161","2007","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","22.1","","","20.5","23.7","1113","Overall","Overall","EDUCA","7","7","","","","","",""
"400162","2007","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.6","","","24.0","27.2","1524","Overall","Overall","EDUCA","7","7","","","","","",""
"400163","2007","CA","California","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","33.0","","","31.4","34.6","2249","Overall","Overall","EDUCA","7","7","","","","","",""
"403108","2007","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","10.4","","","9.4","11.4","779","Overall","Overall","EDUCA","8","8","","","","","",""
"403109","2007","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","25.1","","","24.1","26.1","2826","Overall","Overall","EDUCA","8","8","","","","","",""
"403110","2007","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.3","","","24.3","26.3","3103","Overall","Overall","EDUCA","8","8","","","","","",""
"403111","2007","CO","Colorado","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","39.2","","","38.0","40.4","5185","Overall","Overall","EDUCA","8","8","","","","","",""
"404748","2007","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","5.9","","","5.1","6.7","558","Overall","Overall","EDUCA","9","9","","","","","",""
"404749","2007","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","23.7","","","22.3","25.1","1883","Overall","Overall","EDUCA","9","9","","","","","",""
"404750","2007","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","24.8","","","23.2","26.4","1784","Overall","Overall","EDUCA","9","9","","","","","",""
"404751","2007","CT","Connecticut","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","45.6","","","44.0","47.2","3273","Overall","Overall","EDUCA","9","9","","","","","",""
"407451","2007","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","5.9","","","4.9","6.9","280","Overall","Overall","EDUCA","10","10","","","","","",""
"407151","2007","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","31.6","","","29.4","33.8","1282","Overall","Overall","EDUCA","10","10","","","","","",""
"407152","2007","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","27.6","","","25.4","29.8","1033","Overall","Overall","EDUCA","10","10","","","","","",""
"407153","2007","DE","Delaware","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","35.0","","","33.0","37.0","1393","Overall","Overall","EDUCA","10","10","","","","","",""
"409718","2007","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","10.7","","","9.3","12.1","328","Overall","Overall","EDUCA","11","11","","","","","",""
"409719","2007","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","17.0","","","15.4","18.6","582","Overall","Overall","EDUCA","11","11","","","","","",""
"409720","2007","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","17.8","","","16.2","19.4","651","Overall","Overall","EDUCA","11","11","","","","","",""
"409721","2007","DC","District of Columbia","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","54.5","","","52.5","56.5","2382","Overall","Overall","EDUCA","11","11","","","","","",""
"411302","2007","FL","Florida","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","9.8","","","9.0","10.6","4987","Overall","Overall","EDUCA","12","12","","","","","",""
"411303","2007","FL","Florida","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","28.5","","","27.3","29.7","13017","Overall","Overall","EDUCA","12","12","","","","","",""
"411304","2007","FL","Florida","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","28.0","","","26.8","29.2","10723","Overall","Overall","EDUCA","12","12","","","","","",""
"411305","2007","FL","Florida","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","33.8","","","32.6","35.0","10600","Overall","Overall","EDUCA","12","12","","","","","",""
"414918","2007","GA","Georgia","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","10.0","","","9.0","11.0","892","Overall","Overall","EDUCA","13","13","","","","","",""
"414919","2007","GA","Georgia","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","26.9","","","25.3","28.5","2183","Overall","Overall","EDUCA","13","13","","","","","",""
"414920","2007","GA","Georgia","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.8","","","24.4","27.2","1951","Overall","Overall","EDUCA","13","13","","","","","",""
"414921","2007","GA","Georgia","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","37.3","","","35.7","38.9","2650","Overall","Overall","EDUCA","13","13","","","","","",""
"419406","2007","HI","Hawaii","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","5.4","","","4.6","6.2","343","Overall","Overall","EDUCA","14","14","","","","","",""
"419407","2007","HI","Hawaii","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","31.6","","","30.0","33.2","1884","Overall","Overall","EDUCA","14","14","","","","","",""
"419408","2007","HI","Hawaii","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","29.4","","","27.8","31.0","1933","Overall","Overall","EDUCA","14","14","","","","","",""
"419409","2007","HI","Hawaii","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","33.6","","","32.0","35.2","2434","Overall","Overall","EDUCA","14","14","","","","","",""
"421233","2007","ID","Idaho","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","9.6","","","8.4","10.8","468","Overall","Overall","EDUCA","15","15","","","","","",""
"421234","2007","ID","Idaho","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","31.5","","","29.7","33.3","1662","Overall","Overall","EDUCA","15","15","","","","","",""
"421235","2007","ID","Idaho","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","31.1","","","29.3","32.9","1675","Overall","Overall","EDUCA","15","15","","","","","",""
"421236","2007","ID","Idaho","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","27.9","","","26.3","29.5","1497","Overall","Overall","EDUCA","15","15","","","","","",""
"424130","2007","IL","Illinois","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","8.8","","","7.6","10.0","370","Overall","Overall","EDUCA","16","16","","","","","",""
"424131","2007","IL","Illinois","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","27.6","","","26.0","29.2","1483","Overall","Overall","EDUCA","16","16","","","","","",""
"424132","2007","IL","Illinois","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","27.8","","","26.2","29.4","1448","Overall","Overall","EDUCA","16","16","","","","","",""
"424133","2007","IL","Illinois","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","35.8","","","34.2","37.4","1932","Overall","Overall","EDUCA","16","16","","","","","",""
"426464","2007","IN","Indiana","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","11.2","","","9.8","12.6","610","Overall","Overall","EDUCA","17","17","","","","","",""
"426465","2007","IN","Indiana","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","36.4","","","34.6","38.2","2263","Overall","Overall","EDUCA","17","17","","","","","",""
"426466","2007","IN","Indiana","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","25.1","","","23.5","26.7","1478","Overall","Overall","EDUCA","17","17","","","","","",""
"426467","2007","IN","Indiana","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","27.3","","","25.7","28.9","1630","Overall","Overall","EDUCA","17","17","","","","","",""
"428978","2007","IA","Iowa","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","8.5","","","7.3","9.7","413","Overall","Overall","EDUCA","18","18","","","","","",""
"428979","2007","IA","Iowa","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","35.6","","","34.0","37.2","1980","Overall","Overall","EDUCA","18","18","","","","","",""
"428980","2007","IA","Iowa","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","28.3","","","26.7","29.9","1460","Overall","Overall","EDUCA","18","18","","","","","",""
