State,province,Most Gyms in State,Total,Population (2016),People Per Gym,"Gyms per Capita (100,000)",num_restaurants,Restaurants per Capita 100k,STATE,RANK,Percent of population with diabetes,diabetes_pop,diabetes per capita 100k,Prevalence,95% CI,obesity_pop,obesity per capita 100k,gyms_per_capita_bin,restaurants_per_capita_bin,obesity_per_capita_bin
Alabama,AL,CrossFit,268.0,4863300,18146.64,6,236,4.852672053955133,Alabama,48.0,14.0,680862.0000000001,14000.000000000002,36.1,"(34.6, 37.7)",1755651.3,36100.0,3,3,4.0
Alaska,AK,CrossFit,46.0,741894,16128.13,6,14,1.8870620331206345,Alaska,2.0,7.3,54158.262,7299.999999999999,30.5,"(27.8, 33.4)",226277.67,30500.0,3,1,2.0
Arizona,AZ,CrossFit,330.0,6931071,21003.25,5,208,3.000979213746332,Arizona,28.0,10.9,755486.7390000001,10900.0,31.4,"(29.7, 33.2)",2176356.294,31400.000000000004,2,2,2.0
Arkansas,AR,CrossFit,134.0,2988248,22300.36,4,151,5.053128120557598,Arkansas,46.0,13.6,406401.72799999994,13600.0,37.4,"(35.5, 39.4)",1117604.752,37400.0,2,3,4.0
California,CA,CrossFit,,39250017,22112.69,5,676,1.7222922476695997,California,15.0,10.1,3964251.717,10099.999999999998,26.2,"(25.1, 27.2)",10283504.454,26200.0,2,1,1.0
Colorado,CO,CrossFit,394.0,5540545,14062.3,7,158,2.851705021798397,Colorado,1.0,7.0,387838.15,7000.0,23.8,"(22.7, 24.9)",1318649.7100000002,23800.000000000004,4,2,1.0
Connecticut,CT,CrossFit,272.0,3576452,13148.72,8,96,2.6842244772193227,Connecticut,14.0,9.6,343339.39200000005,9600.0,29.1,"(27.8, 30.5)",1040747.532,29100.00000000001,4,1,1.0
Delaware,DE,CrossFit,60.0,952065,15867.75,6,32,3.36111504991781,Delaware,43.0,12.8,121864.32,12800.000000000002,34.4,"(32.1, 36.6)",327510.36,34400.0,3,2,3.0
District of Columbia,DC,CrossFit,34.0,681170,20034.41,5,21,3.082930839584832,,,,,,,,,,2,2,
Florida,FL,CrossFit,,20612439,20428.58,5,471,2.285027987226548,Florida,34.0,11.7,2411655.363,11700.0,27.0,"(25.6, 28.5)",5565358.53,27000.0,2,1,1.0
Georgia,GA,CrossFit,587.0,10310371,17564.52,6,347,3.365543296162669,Georgia,36.0,12.0,1237244.52,12000.0,33.1,"(31.3, 35.0)",3412732.8010000004,33100.0,3,2,3.0
Hawaii,HI,CrossFit,81.0,1428557,17636.51,6,40,2.800028280285631,Hawaii,21.0,10.5,149998.485,10500.0,25.0,"(23.7, 26.3)",357139.25,25000.0,3,2,1.0
Idaho,ID,CrossFit,102.0,1683140,16501.37,6,99,5.881863659588626,Idaho,17.0,10.3,173363.42,10300.000000000002,29.5,"(27.6, 31.4)",496526.3,29500.0,3,4,2.0
Illinois,IL,CrossFit,674.0,12801539,18993.38,5,363,2.835596563819397,Illinois,33.0,11.3,1446573.907,11300.000000000002,31.6,"(30.1, 33.1)",4045286.3239999996,31600.0,2,2,2.0
Indiana,IN,Anytime Fitness,403.0,6633053,16459.19,6,379,5.713809312242794,Indiana,41.0,12.4,822498.572,12400.000000000002,35.3,"(34.0, 36.7)",2341467.7090000003,35300.0,3,4,4.0
Iowa,IA,Anytime Fitness,232.0,3134693,13511.61,7,166,5.295574399151686,Iowa,17.0,10.3,322873.37899999996,10300.0,33.9,"(32.8, 35.1)",1062660.9270000001,33900.0,4,4,3.0
Kansas,KS,Anytime Fitness,164.0,2907289,17727.37,6,103,3.5428194445065486,Kansas,25.0,10.8,313987.2120000001,10800.000000000002,35.2,"(34.1, 36.4)",1023365.728,35200.0,3,3,4.0
Kentucky,KY,CrossFit,219.0,4436974,20260.16,5,332,7.482577089701223,Kentucky,44.0,13.3,590117.542,13300.0,36.5,"(34.7, 38.2)",1619495.51,36500.0,2,4,4.0
Louisiana,LA,Anytime Fitness,340.0,4681666,13769.61,7,237,5.0623004716697,Louisiana,42.0,12.6,589889.916,12600.0,35.9,"(34.1, 37.7)",1680718.094,35900.0,4,3,4.0
Maine,ME,CrossFit,78.0,1331479,17070.24,6,44,3.3045958667016158,Maine,23.0,10.6,141136.774,10600.0,31.7,"(30.3, 33.1)",422078.843,31700.0,3,2,2.0
Maryland,MD,CrossFit,270.0,6016447,22283.14,4,159,2.6427557659861383,Maryland,31.0,11.0,661809.17,11000.0,32.3,"(31.1, 33.4)",1943312.381,32300.0,2,1,3.0
Massachusetts,MA,CrossFit,412.0,6811779,16533.44,6,131,1.9231393150012648,Massachusetts,6.0,8.4,572189.436,8400.0,25.2,"(23.9, 26.5)",1716568.3080000002,25200.0,3,1,1.0
Michigan,MI,CrossFit,516.0,9928300,19240.89,5,251,2.528126668211073,Michigan,32.0,11.1,1102041.3,11100.0,36.0,"(34.7, 37.3)",3574188.0,36000.0,2,1,4.0
Minnesota,MN,Snap Fitness,571.0,5519952,9667.17,10,148,2.6811827349223325,Minnesota,10.0,8.8,485755.77600000007,8800.000000000002,30.1,"(29.2, 31.1)",1661505.552,30100.0,4,1,2.0
Mississippi,MS,CrossFit,136.0,2988726,21975.93,5,82,2.7436439472872385,Mississippi,49.0,14.8,442331.448,14800.0,40.8,"(39.0, 42.7)",1219400.208,40799.999999999985,2,2,4.0
