State,province,Most Gyms in State,Total,Population (2016),People Per Gym,"Gyms per Capita (100,000)",num_restaurants,Restaurants per Capita 100k,STATE,RANK,Percent of population with diabetes,diabetes_pop,diabetes per capita 100k,Prevalence,95% CI,obesity_pop,obesity per capita 100k
South Carolina,SC,CrossFit,267.0,4961119,18580.97,5,238,4.797304801598187,South Carolina,45.0,13.4,664789.946,13400.0,35.4,"(33.8, 36.9)",1756236.126,35400.0
South Dakota,SD,Curves,60.0,865454,14424.23,7,105,12.132360587622218,South Dakota,23.0,10.6,91738.124,10599.999999999998,33.0,"(30.6, 35.5)",285599.82,33000.0
Tennessee,TN,CrossFit,342.0,6651194,19447.94,5,245,3.683549149220426,Tennessee,47.0,13.8,917864.7720000001,13800.000000000002,36.5,"(34.8, 38.3)",2427685.81,36500.0
Texas,TX,CrossFit,,27862596,19774.73,5,634,2.275452007415246,Texas,38.0,12.2,3399236.712,12199.999999999998,34.0,"(32.2, 35.7)",9473282.64,34000.0
Utah,UT,CrossFit,165.0,3051217,18492.22,5,159,5.211035465520807,Utah,5.0,8.0,244097.36000000002,8000.0,29.2,"(28.2, 30.3)",890955.364,29199.999999999996
Vermont,VT,CrossFit,33.0,624594,18927.09,5,43,6.884472153110661,Vermont,8.0,8.7,54339.678,8700.0,26.6,"(25.0, 28.3)",166142.00400000002,26600.000000000004
Virginia,VA,CrossFit,571.0,8411808,14731.71,7,327,3.8873925795738558,Virginia,28.0,10.9,916887.072,10900.0,31.9,"(30.6, 33.2)",2683366.752,31899.999999999996
Washington,WA,CrossFit,467.0,7288000,15606.00,6,209,2.867727771679473,Washington,13.0,9.4,685072.0,9400.0,28.3,"(27.3, 29.4)",2062504.0000000002,28300.000000000004
West Virginia,WV,CrossFit,83.0,1831102,22061.47,5,93,5.078908766414979,West Virginia,50.0,15.7,287483.014,15700.000000000002,39.7,"(38.0, 41.5)",726947.4940000001,39700.00000000001
Wisconsin,WI,Anytime Fitness,431.0,5778708,13407.68,7,186,3.218712556509171,Wisconsin,8.0,8.7,502747.59599999996,8699.999999999998,34.2,"(32.4, 36.1)",1976318.1360000002,34200.0
Wyoming,WY,CrossFit,36.0,585501,16263.92,6,41,7.00254995294628,Wyoming,4.0,7.8,45669.078,7800.0,29.7,"(27.7, 31.7",173893.797,29700.0
